1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
400.105764,1.413e-25,          0 1 0,          0 1 0, 11  4  7      , 11  1 10      
400.221819,1.071e-20,          0 0 0,          0 0 0, 10  4  6      ,  9  3  7      
400.48104,1.068e-20,          0 0 0,          0 0 0, 10  6  4      ,  9  5  5      
400.492193,6.059e-28,          1 0 0,          0 2 0,  8  4  4      ,  7  5  3      
400.797692,9.784e-24,          0 1 0,          0 1 0,  9  6  4      ,  8  5  3      
400.801303,1.249e-30,          1 0 0,          0 2 0, 11  2 10      , 10  3  7      
400.861654,3.932e-23,          0 1 0,          0 1 0,  8  7  2      ,  7  6  1      
400.864883,1.311e-23,          0 1 0,          0 1 0,  8  7  1      ,  7  6  2      
400.9816,2.759e-30,          0 0 1,          0 2 0,  9  1  9      , 10  1 10      
401.148644,5.116e-28,          0 2 0,          0 2 0,  7  5  2      ,  7  2  5      
401.380294,2.945e-23,          0 1 0,          0 1 0,  9  6  3      ,  8  5  4      
402.219825,4.96e-28,          0 1 0,          0 1 0, 14  6  8      , 14  3 11      
402.395775,3.194e-30,          0 0 1,          0 2 0,  6  2  5      ,  7  2  6      
402.55961,1.774e-30,          0 0 0,          0 0 0, 13 12  2      , 14  9  5      
402.567276,2.736e-28,          0 0 1,          0 0 1,  8  4  5      ,  7  1  6      
402.57102,5.324e-30,          0 0 0,          0 0 0, 13 12  1      , 14  9  6      
402.571185,5.484e-29,          0 0 1,          0 0 1,  5  5  1      ,  4  2  2      
402.665237,3.785e-29,          0 0 0,          0 0 0, 11 11  1      , 12  8  4      
402.681151,1.136e-28,          0 0 0,          0 0 0, 11 11  0      , 12  8  5      
402.74466,2.962e-26,          0 1 0,          0 1 0, 10  6  4      , 10  3  7      
402.92667,1.878e-26,          0 2 0,          0 2 0,  9  5  4      ,  8  4  5      
403.450458,1.038e-30,          0 0 0,          0 0 0, 17  9  9      , 18  4 14      
403.555172,1.364e-28,          0 0 1,          0 0 1, 11  6  6      , 10  5  5      
403.732373,1.329e-27,          0 0 1,          0 2 0,  4  3  1      ,  5  3  2      
403.740763,4.893e-25,          0 0 0,          0 0 0, 17  5 13      , 16  4 12      
403.985319,1.021e-28,          0 0 0,          0 0 0, 20  6 14      , 19  7 13      
403.990114,3.838e-29,          0 1 0,          0 1 0, 22  1 22      , 21  0 21      
403.990552,1.28e-29,          0 1 0,          0 1 0, 22  0 22      , 21  1 21      
404.077607,5.178e-24,          0 1 0,          0 1 0, 10  5  5      ,  9  4  6      
404.089258,4.446e-28,          0 0 1,          0 0 1,  9  8  2      ,  8  7  1      
404.090723,1.506e-28,          0 0 1,          0 0 1,  9  8  1      ,  8  7  2      
404.164736,2.093e-27,          0 2 0,          0 0 1,  7  7  0      ,  6  3  3      
404.353732,2.511e-30,          0 0 1,          1 0 0, 13  5  9      , 12  5  8      
404.642386,3.067e-30,          1 0 0,          0 0 1,  5  5  1      ,  4  1  4      
404.649029,1.125e-24,          0 1 0,          0 1 0, 12  5  8      , 11  4  7      
404.756034,1.946e-30,          0 0 0,          0 0 0, 18  6 12      , 19  3 17      
404.843223,5.334e-30,          1 0 0,          0 0 1,  9  6  4      ,  8  4  5      
405.035356,8.912e-27,          0 2 0,          0 2 0,  7  7  1      ,  6  6  0      
405.079415,3.436e-29,          1 0 0,          0 0 1,  7  5  2      ,  6  1  5      
405.146705,2.483e-26,          0 2 0,          0 2 0,  7  7  0      ,  6  6  1      
405.495533,4.912e-22,          0 0 0,          0 0 0,  8  6  3      ,  8  3  6      
405.501572,2.693e-25,          0 1 0,          0 1 0,  7  5  3      ,  7  2  6      
405.58476,3.967e-30,          1 0 0,          0 2 0,  6  1  5      ,  6  2  4      
405.595965,1.257e-30,          1 0 0,          1 0 0,  5  5  0      ,  5  0  5      
405.6283,6.433e-30,          0 0 1,          0 0 1,  9  4  6      ,  9  1  9      
405.657629,3.756e-30,          0 0 1,          0 2 0,  4  3  2      ,  5  3  3      
405.940198,2.226e-30,          1 0 0,          1 0 0,  9  6  4      ,  9  3  7      
406.167886,2.602e-26,          0 2 0,          0 2 0,  8  6  3      ,  7  5  2      
406.259348,1.644e-28,          0 0 1,          0 0 1, 10  4  6      ,  9  3  7      
406.36524,1.413e-25,          0 0 0,          0 0 0, 19  3 16      , 18  4 15      
406.453123,3.921e-30,          1 0 0,          0 0 1,  7  7  0      ,  6  5  1      
406.498964,1.3e-30,          1 0 0,          0 0 1,  7  7  1      ,  6  5  2      
406.54224,8.142e-27,          0 2 0,          0 2 0,  8  6  2      ,  7  5  3      
406.797241,1.151e-28,          1 0 0,          0 0 1, 11  6  5      , 10  4  6      
406.89358,3.509e-29,          1 0 0,          0 2 0,  9  4  6      ,  8  5  3      
406.924589,1.281e-30,          0 0 1,          0 0 1, 10  5  6      , 10  2  9      
407.305198,4.739e-26,          0 0 0,          0 0 0, 19  4 16      , 18  3 15      
407.350088,2.907e-27,          0 1 0,          0 1 0,  8  5  4      ,  9  0  9      
407.451836,4.035e-24,          0 0 0,          0 0 0, 12  7  5      , 12  4  8      
407.532238,3.156e-26,          0 0 0,          0 0 0, 20  2 18      , 19  3 17      
407.566682,9.469e-26,          0 0 0,          0 0 0, 20  3 18      , 19  2 17      
407.797387,7.3e-30,          0 1 0,          0 1 0, 10  9  2      , 11  6  5      
407.823362,4.226e-29,          0 1 0,          0 1 0, 19  3 16      , 18  4 15      
407.897314,9.423e-30,          0 1 0,          0 1 0, 21  2 20      , 20  1 19      
407.979306,1.319e-27,          1 0 0,          1 0 0,  8  4  5      ,  7  1  6      
407.998366,2.949e-29,          0 1 0,          0 1 0, 21  1 20      , 20  2 19      
408.206298,1.882e-27,          0 0 0,          0 0 0, 15  5 10      , 16  2 15      
408.293118,2.567e-28,          0 0 1,          0 0 1,  8  3  6      ,  7  0  7      
408.325136,7.622e-26,          0 0 0,          0 0 0, 21  1 20      , 20  2 19      
408.325913,2.541e-26,          0 0 0,          0 0 0, 21  2 20      , 20  1 19      
408.340404,1.053e-29,          0 1 0,          0 1 0, 20  2 18      , 19  3 17      
408.458467,3.162e-29,          0 1 0,          0 1 0, 20  3 18      , 19  2 17      
408.558914,1.013e-26,          0 1 0,          0 1 0, 13  5  8      , 13  2 11      
408.64115,5.479e-30,          1 0 0,          1 0 0, 10  5  6      , 10  2  9      
408.689854,2.441e-30,          0 1 0,          0 1 0, 10  9  1      , 11  6  6      
408.771949,3.769e-30,          0 0 0,          0 0 0, 17  8 10      , 18  3 15      
408.817374,9.774e-29,          0 0 1,          0 0 1, 10  7  4      ,  9  6  3      
408.859167,1.042e-29,          1 0 0,          0 2 0,  3  1  3      ,  3  2  2      
408.976801,3.478e-30,          0 0 1,          1 0 0, 12  4  8      , 11  4  7      
409.037655,8.981e-26,          0 1 0,          0 1 0, 13  5  9      , 12  4  8      
409.056977,2.89e-28,          0 0 1,          0 0 1, 10  7  3      ,  9  6  4      
409.213085,1.511e-29,          0 0 0,          0 0 0, 16  9  8      , 17  4 13      
409.257667,2.188e-29,          0 3 0,          0 3 0,  8  5  4      ,  7  4  3      
409.504585,2.913e-23,          0 1 0,          0 1 0,  9  3  6      ,  8  2  7      
409.667916,2.07e-29,          1 0 0,          0 2 0,  3  0  3      ,  4  1  4      
409.778409,3.012e-29,          0 0 1,          1 0 0,  6  3  4      ,  5  1  5      
409.804106,5.182e-29,          0 0 1,          0 0 1, 11  5  6      , 10  4  7      
409.993533,6.824e-29,          1 0 0,          1 0 0, 11  6  6      , 10  5  5      
410.087268,2.228e-30,          0 2 0,          1 0 0, 12  5  7      , 12  0 12      
410.197546,3.169e-29,          1 0 0,          0 0 1, 10  6  4      ,  9  4  5      
410.205331,1.141e-26,          0 0 0,          0 0 0, 17  7 10      , 17  4 13      
410.25113,6.812e-29,          0 2 0,          1 0 0,  7  7  1      ,  6  4  2      
410.39583,1.433e-29,          0 1 0,          0 1 0, 19  4 16      , 18  3 15      
410.664401,7.358e-30,          0 3 0,          0 3 0,  8  5  3      ,  7  4  4      
410.853512,2.747e-29,          1 0 0,          0 2 0,  5  0  5      ,  5  1  4      
410.883954,5.965e-30,          0 1 0,          0 0 0, 14  1 14      , 15  4 11      
411.117336,6.459e-28,          1 0 0,          1 0 0,  9  8  1      ,  8  7  2      
411.118147,2.185e-28,          1 0 0,          1 0 0,  9  8  2      ,  8  7  1      
411.293511,4.019e-30,          0 0 1,          0 2 0,  5  2  3      ,  6  2  4      
411.310312,5.974e-26,          0 1 0,          0 1 0, 14  5 10      , 13  4  9      
411.420701,1.328e-27,          0 0 1,          0 2 0,  6  1  5      ,  7  1  6      
411.465204,8.224e-30,          0 1 0,          0 1 0, 20  1 19      , 20  0 20      
411.465486,2.467e-29,          0 1 0,          0 1 0, 20  2 19      , 20  1 20      
411.508257,4.113e-30,          1 0 0,          1 0 0,  9  4  6      ,  9  1  9      
411.57777,1.14e-30,          1 0 0,          0 2 0, 13  3 11      , 12  4  8      
411.814652,1.314e-27,          1 0 0,          1 0 0,  8  3  6      ,  7  0  7      
411.902479,3.813e-26,          0 0 0,          0 0 0,  7  7  1      ,  8  2  6      
412.135761,1.711e-27,          0 2 0,          0 2 0,  4  4  1      ,  3  1  2      
412.307201,4.972e-24,          0 1 0,          0 1 0, 10  4  6      ,  9  3  7      
412.314152,1.441e-29,          0 3 0,          0 3 0,  9  4  5      ,  8  3  6      
412.683233,1.306e-28,          0 2 0,          0 2 0,  6  5  1      ,  6  2  4      
413.014337,4.132e-27,          0 1 0,          0 1 0, 15  5 11      , 14  4 10      
413.043868,1.195e-27,          0 1 0,          0 1 0,  8  6  3      ,  9  1  8      
413.124302,2.741e-28,          0 0 0,          0 0 0, 15  7  9      , 16  2 14      
413.222557,4.751e-29,          0 0 1,          0 0 1, 11  6  5      , 10  5  6      
413.531585,2.306e-28,          1 0 0,          1 0 0, 11  5  6      , 10  4  7      
413.626488,9.777e-30,          0 0 1,          1 0 0,  7  4  3      ,  6  2  4      
413.656447,1.023e-27,          0 2 0,          0 2 0,  6  4  3      ,  6  1  6      
414.022814,9.786e-27,          0 0 0,          0 0 0, 19  5 14      , 18  6 13      
414.025238,1.331e-30,          0 0 1,          0 2 0,  7  5  3      ,  7  5  2      
414.16678,4.298e-28,          1 0 0,          1 0 0, 10  7  4      ,  9  6  3      
414.24855,1.454e-28,          1 0 0,          1 0 0, 10  7  3      ,  9  6  4      
414.33001,5.779e-30,          0 2 0,          0 2 0, 12  5  7      , 12  2 10      
414.474212,1.764e-28,          0 0 1,          0 0 1,  6  4  2      ,  5  1  5      
414.723011,1.221e-23,          0 1 0,          0 1 0,  8  2  6      ,  7  1  7      
414.835089,7.578e-30,          0 3 0,          0 3 0,  7  6  2      ,  6  5  1      
414.854663,2.273e-29,          0 3 0,          0 3 0,  7  6  1      ,  6  5  2      
414.951835,2.567e-25,          0 0 0,          0 0 0, 18  5 14      , 17  4 13      
415.014253,1.148e-22,          0 0 0,          0 0 0,  9  6  4      ,  9  3  7      
415.07735,3.511e-28,          0 1 0,          0 1 0,  7  6  2      ,  8  1  7      
415.279491,6.357e-27,          0 2 0,          0 2 0, 10  5  6      ,  9  4  5      
415.344849,2.332e-29,          1 0 0,          1 0 0,  5  5  1      ,  4  2  2      
415.653701,2.411e-27,          0 1 0,          0 1 0, 16  5 12      , 15  4 11      
416.165852,1.074e-30,          0 0 1,          0 2 0,  6  5  2      ,  6  5  1      
416.234576,3.164e-30,          0 0 1,          0 2 0,  6  5  1      ,  6  5  2      
416.342878,1.411e-25,          0 1 0,          0 1 0,  9  6  3      ,  9  3  6      
416.393342,6.297e-27,          0 0 0,          0 0 0, 11  8  4      , 12  3  9      
416.728405,6.841e-23,          0 0 0,          0 0 0,  5  5  0      ,  5  0  5      
416.772072,1.02e-29,          0 1 0,          0 1 0, 19  4 15      , 18  5 14      
417.131021,1.248e-28,          0 0 0,          0 0 0, 23  1 22      , 23  0 23      
417.132383,4.158e-29,          0 0 0,          0 0 0, 23  2 22      , 23  1 23      
417.555574,4.663e-29,          0 0 1,          0 0 1,  6  5  2      ,  5  2  3      
417.659337,1.194e-20,          0 0 0,          0 0 0, 11  5  6      , 10  4  7      
417.728597,3.042e-29,          0 2 0,          1 0 0,  7  7  0      ,  6  4  3      
417.767218,5.081e-30,          1 0 0,          0 2 0,  5  3  2      ,  6  2  5      
417.784182,2.846e-28,          0 1 0,          0 1 0,  9  6  4      , 10  1  9      
417.862532,1.351e-30,          0 0 1,          1 0 0, 13  5  8      , 12  5  7      
417.892301,3.271e-21,          0 0 0,          0 0 0, 11  6  6      , 10  5  5      
418.09622,1.954e-30,          0 0 1,          0 0 1,  6  5  1      ,  6  0  6      
418.180674,1.266e-27,          0 0 1,          0 2 0,  5  5  1      ,  5  5  0      
418.194056,2.368e-30,          0 0 1,          0 2 0,  5  5  0      ,  5  5  1      
418.494513,6.499e-20,          0 0 0,          0 0 0,  8  4  5      ,  7  1  6      
418.596942,5.682e-30,          0 0 0,          0 0 0, 12 12  1      , 13  9  4      
418.598615,1.894e-30,          0 0 0,          0 0 0, 12 12  0      , 13  9  5      
418.645484,1.564e-29,          0 0 1,          0 0 1,  5  5  0      ,  4  2  3      
418.676873,1.878e-30,          1 0 0,          1 0 0, 10  3  7      , 10  0 10      
418.748202,2.267e-29,          1 0 0,          0 2 0,  2  1  2      ,  2  2  1      
418.960372,3.876e-26,          0 0 0,          0 0 0, 19  4 15      , 18  5 14      
419.11431,9.872e-21,          0 0 0,          0 0 0,  9  8  2      ,  8  7  1      
419.115042,2.962e-20,          0 0 0,          0 0 0,  9  8  1      ,  8  7  2      
419.217566,2.184e-30,          0 0 1,          0 2 0,  8  1  8      ,  9  1  9      
419.242355,1.223e-29,          0 0 1,          0 0 1, 12  6  7      , 11  5  6      
419.386982,6.566e-30,          0 0 1,          0 2 0,  8  0  8      ,  9  0  9      
419.43287,5.048e-30,          1 0 0,          0 0 1, 12  6  6      , 11  4  7      
419.872417,6.728e-20,          0 0 0,          0 0 0,  8  3  6      ,  7  0  7      
420.215756,8.768e-27,          0 0 0,          0 0 0, 13  6  8      , 14  1 13      
420.386295,1.483e-28,          0 1 0,          0 1 0, 17  5 13      , 16  4 12      
420.516587,2.278e-28,          0 0 1,          0 0 1,  9  9  1      ,  8  8  0      
420.516599,7.592e-29,          0 0 1,          0 0 1,  9  9  0      ,  8  8  1      
420.674889,2.069e-22,          0 0 0,          0 0 0,  9  4  6      ,  9  1  9      
420.714399,3.458e-30,          1 0 0,          1 0 0, 10  6  5      , 10  3  8      
420.864692,1.58e-30,          0 1 0,          0 0 0, 15  1 14      , 16  6 11      
420.883622,3.079e-30,          0 0 1,          0 0 1, 10  3  7      , 10  0 10      
421.045953,1.861e-23,          0 1 0,          0 1 0,  8  8  1      ,  7  7  0      
421.045982,6.203e-24,          0 1 0,          0 1 0,  8  8  0      ,  7  7  1      
421.060268,1.988e-30,          0 1 0,          0 1 0, 23  1 23      , 22  0 22      
421.06068,5.963e-30,          0 1 0,          0 1 0, 23  0 23      , 22  1 22      
421.241939,4.074e-30,          1 0 0,          0 2 0,  3  1  3      ,  4  0  4      
421.520799,1.955e-29,          0 0 0,          0 0 0, 15  9  7      , 16  4 12      
422.070823,1.776e-26,          0 2 0,          0 2 0,  9  3  6      ,  8  2  7      
422.279588,8.949e-30,          0 2 0,          0 0 1,  8  7  1      ,  7  3  4      
422.613625,1.671e-29,          1 0 0,          0 2 0,  5  1  4      ,  5  2  3      
422.897517,2.73e-23,          0 0 0,          0 0 0, 11  7  4      , 11  4  7      
422.962194,2.011e-20,          0 0 0,          0 0 0, 10  7  4      ,  9  6  3      
423.123182,6.709e-21,          0 0 0,          0 0 0, 10  7  3      ,  9  6  4      
423.139855,4.264e-29,          1 0 0,          0 2 0, 10  4  7      ,  9  5  4      
423.237585,7.473e-27,          0 0 0,          0 0 0, 20  3 17      , 19  4 16      
423.244313,1.007e-23,          0 1 0,          0 1 0,  7  4  4      ,  6  1  5      
423.589928,1.744e-28,          0 2 0,          0 2 0,  5  5  0      ,  5  2  3      
423.617236,9.72e-23,          0 0 0,          0 0 0, 10  3  7      , 10  0 10      
423.659017,1.059e-23,          0 1 0,          0 1 0, 10  6  5      ,  9  5  4      
423.702906,1.234e-29,          0 0 1,          0 2 0,  8  3  5      ,  7  5  2      
423.754541,2.249e-26,          0 0 0,          0 0 0, 20  4 17      , 19  3 16      
423.92386,3.229e-30,          1 0 0,          0 2 0,  6  3  4      ,  5  4  1      
424.232588,4.281e-28,          0 1 0,          0 1 0,  6  6  1      ,  7  1  6      
424.446744,1.47e-26,          0 0 0,          0 0 0, 21  2 19      , 20  3 18      
424.465341,4.9e-27,          0 0 0,          0 0 0, 21  3 19      , 20  2 18      
424.467169,6.047e-25,          0 1 0,          0 1 0,  8  5  4      ,  8  2  7      
424.485475,6.361e-29,          1 0 0,          1 0 0,  6  4  2      ,  5  1  5      
424.732122,2.222e-30,          0 1 0,          0 1 0, 20  3 17      , 19  4 16      
424.742826,2.954e-28,          0 1 0,          0 1 0, 15  6  9      , 15  3 12      
424.87729,4.149e-27,          0 0 0,          0 0 0, 23  1 23      , 22  0 22      
424.932195,6.09e-30,          0 0 1,          1 0 0,  6  4  3      ,  5  2  4      
425.084652,4.892e-30,          0 1 0,          0 1 0, 21  2 19      , 20  3 18      
425.084801,3.255e-22,          0 0 0,          0 0 0, 10  5  6      , 10  2  9      
425.100842,5.575e-28,          0 2 0,          0 2 0,  9  3  6      ,  9  0  9      
425.157217,1.631e-30,          0 1 0,          0 1 0, 21  3 19      , 20  2 18      
425.164584,4.525e-30,          0 1 0,          0 1 0, 22  2 21      , 21  1 20      
425.299082,1.43e-30,          0 1 0,          0 1 0, 22  1 21      , 21  2 20      
425.327454,1.017e-20,          0 0 0,          0 0 0, 11  6  5      , 10  5  6      
425.435274,4.074e-27,          0 0 0,          0 0 0, 22  1 21      , 21  2 20      
425.482672,5.376e-24,          0 1 0,          0 1 0,  9  7  3      ,  8  6  2      
425.503706,1.613e-23,          0 1 0,          0 1 0,  9  7  2      ,  8  6  3      
425.527715,3.566e-24,          0 1 0,          0 1 0, 10  6  4      ,  9  5  5      
425.576218,6.667e-30,          1 0 0,          0 0 1, 11  5  7      , 10  3  8      
425.951262,8.584e-30,          1 0 0,          0 2 0,  2  0  2      ,  3  1  3      
426.235387,6.732e-30,          0 1 0,          0 1 0, 20  4 17      , 19  3 16      
426.293518,1.31e-21,          0 0 0,          0 0 0,  5  5  1      ,  4  2  2      
426.904303,1.673e-30,          0 0 0,          0 0 0, 18  8 11      , 19  3 16      
427.030644,7.614e-25,          0 1 0,          0 1 0,  8  4  5      ,  8  1  8      
427.061484,2.421e-29,          0 0 1,          0 2 0, 10  2  9      ,  9  4  6      
427.071626,1.006e-28,          1 0 0,          1 0 0, 11  6  5      , 10  5  6      
427.432694,2.695e-27,          0 2 0,          0 2 0, 10  4  6      ,  9  3  7      
427.731196,7.513e-29,          0 1 0,          0 1 0, 18  5 14      , 17  4 13      
427.759589,7.904e-30,          1 0 0,          1 0 0, 10 10  1      ,  9  9  0      
427.75959,2.635e-30,          1 0 0,          1 0 0, 10 10  0      ,  9  9  1      
427.940483,9.276e-26,          0 0 0,          0 0 0, 11  5  7      , 12  0 12      
427.987347,1.373e-26,          0 0 0,          0 0 0, 19  5 15      , 18  4 14      
428.08674,4.734e-27,          1 0 0,          0 2 0,  9  4  5      ,  8  5  4      
428.155643,1.247e-30,          0 0 1,          0 0 1,  8  7  1      ,  8  4  4      
428.34972,5.504e-29,          0 0 1,          0 0 1, 10  8  3      ,  9  7  2      
428.356804,1.652e-28,          0 0 1,          0 0 1, 10  8  2      ,  9  7  3      
428.514871,5.284e-29,          1 0 0,          1 0 0, 12  6  7      , 11  5  6      
428.844783,1.813e-22,          0 0 0,          0 0 0, 10  6  5      , 10  3  8      
428.915535,1.547e-30,          0 0 1,          1 0 0, 10  4  6      , 10  2  9      
428.940803,4.393e-28,          0 1 0,          0 1 0, 10  6  5      , 11  1 10      
429.255722,1.886e-30,          0 1 0,          0 1 0,  9  9  1      , 10  6  4      
429.303157,2.194e-27,          0 0 1,          0 2 0,  5  2  4      ,  6  2  5      
429.313444,2.233e-27,          0 2 0,          0 2 0, 10  5  5      ,  9  4  6      
429.417218,6.335e-28,          0 2 0,          0 2 0, 11  5  7      , 10  4  6      
429.554855,5.664e-30,          0 1 0,          0 1 0,  9  9  0      , 10  6  5      
429.589989,1.052e-28,          0 2 0,          0 2 0, 11  4  7      , 11  1 10      
429.903722,2.913e-30,          1 0 0,          0 0 1, 10  6  5      ,  9  4  6      
429.984846,1.216e-26,          0 2 0,          0 2 0,  8  7  2      ,  7  6  1      
430.080677,4.113e-27,          0 2 0,          0 2 0,  8  7  1      ,  7  6  2      
430.265774,5.219e-24,          0 1 0,          0 1 0,  5  4  1      ,  4  1  4      
430.297604,1.845e-27,          0 2 0,          0 2 0,  5  4  2      ,  4  1  3      
430.335804,3.565e-27,          0 2 0,          0 2 0,  9  6  4      ,  8  5  3      
430.349472,1.33e-30,          1 0 0,          0 0 1,  8  7  1      ,  7  5  2      
430.352587,5.93e-26,          0 1 0,          0 1 0,  8  6  2      ,  8  3  5      
430.436305,3.109e-28,          1 0 0,          1 0 0,  9  9  0      ,  8  8  1      
430.43631,1.051e-28,          1 0 0,          1 0 0,  9  9  1      ,  8  8  0      
430.589507,6.908e-29,          1 0 0,          1 0 0,  5  5  0      ,  4  2  3      
430.607091,3.871e-30,          1 0 0,          0 0 1,  8  7  2      ,  7  5  3      
430.799821,1.958e-28,          1 0 0,          1 0 0,  6  5  2      ,  5  2  3      
431.036455,1.728e-23,          0 0 0,          0 0 0, 12  4  8      , 12  1 11      
431.154746,4.707e-21,          0 0 0,          0 0 0,  6  4  2      ,  5  1  5      
431.187264,8.489e-30,          0 0 1,          0 0 1, 13  6  8      , 12  5  7      
431.276441,2.959e-30,          0 3 0,          0 3 0,  9  5  5      ,  8  4  4      
431.579309,4.047e-30,          0 0 1,          0 2 0,  3  3  0      ,  4  3  1      
431.832599,2.114e-30,          1 0 0,          0 0 1, 13  6  7      , 12  4  8      
431.840933,9.465e-29,          0 0 1,          0 0 1, 11  7  5      , 10  6  4      
431.863643,1.151e-29,          1 0 0,          0 2 0,  4  1  3      ,  4  2  2      
431.962919,2.17e-28,          0 0 1,          0 0 1,  7  5  3      ,  6  2  4      
432.203824,1.946e-27,          0 0 1,          0 2 0,  3  3  1      ,  4  3  2      
432.296703,6.093e-27,          0 2 0,          0 2 0,  9  6  3      ,  8  5  4      
432.513866,1.123e-24,          0 0 0,          0 0 0, 14  5  9      , 14  2 12      
432.529091,1.293e-30,          0 1 0,          0 1 0, 21  2 20      , 21  1 21      
432.542313,1.893e-30,          1 0 0,          0 2 0, 10  2  9      ,  9  3  6      
432.57679,1.456e-30,          0 0 1,          0 2 0,  9  8  2      ,  8  8  1      
432.630646,4.044e-30,          0 1 0,          0 1 0, 21  1 20      , 21  0 21      
432.692304,3.17e-29,          0 0 1,          0 0 1, 11  7  4      , 10  6  5      
432.924319,3.372e-26,          0 0 0,          0 0 0, 16  6 10      , 16  3 13      
433.254348,8.22e-30,          1 0 0,          0 2 0,  2  1  1      ,  2  2  0      
433.410004,2.339e-29,          0 3 0,          0 3 0,  6  3  4      ,  5  0  5      
433.562204,9.792e-27,          0 2 0,          0 2 0,  7  3  5      ,  6  0  6      
433.706896,7.735e-27,          0 2 0,          0 2 0,  8  2  6      ,  7  1  7      
433.796217,1.376e-30,          0 1 0,          0 0 0,  9  1  8      , 10  8  3      
433.852562,1.994e-30,          1 0 0,          0 2 0,  9  7  2      ,  9  6  3      
434.379269,4.884e-28,          0 1 0,          0 1 0,  9  5  5      , 10  0 10      
434.53549,5.121e-30,          0 0 0,          0 0 0, 24  1 23      , 24  0 24      
434.536308,1.537e-29,          0 0 0,          0 0 0, 24  2 23      , 24  1 24      
434.642113,3.511e-29,          1 0 0,          0 2 0,  3  1  2      ,  3  2  1      
434.690501,2.196e-28,          0 0 0,          0 0 0, 18  8 10      , 18  5 13      
434.805153,2.632e-21,          0 0 0,          0 0 0, 12  6  7      , 11  5  6      
434.939818,1.968e-30,          1 0 0,          1 0 0, 14  6  9      , 13  5  8      
435.080033,2.292e-28,          1 0 0,          0 2 0, 12  3 10      , 11  4  7      
435.24229,4.623e-30,          1 0 0,          0 2 0, 11  4  8      , 10  5  5      
435.357456,4.775e-24,          0 1 0,          0 1 0, 11  5  6      , 10  4  7      
435.416673,9.06e-30,          0 3 0,          0 3 0,  9  5  4      ,  8  4  5      
435.420362,2.402e-28,          1 0 0,          1 0 0, 10  8  3      ,  9  7  2      
435.423154,8.009e-29,          1 0 0,          1 0 0, 10  8  2      ,  9  7  3      
435.73731,6.081e-29,          0 0 1,          1 0 0,  8  4  4      ,  7  2  5      
436.264328,1.512e-29,          1 0 0,          0 0 1,  8  4  4      ,  7  0  7      
436.426308,4.673e-21,          0 0 0,          0 0 0,  9  9  1      ,  8  8  0      
436.426314,1.402e-20,          0 0 0,          0 0 0,  9  9  0      ,  8  8  1      
436.442176,1.214e-29,          1 0 0,          0 2 0,  4  0  4      ,  4  1  3      
436.482217,1.361e-29,          0 3 0,          0 3 0,  9  3  6      ,  8  2  7      
436.515527,2.401e-28,          0 2 0,          1 0 0,  8  7  2      ,  7  4  3      
436.816525,9.319e-28,          0 0 1,          0 2 0,  5  1  4      ,  6  1  5      
436.844251,1.079e-30,          0 0 1,          1 0 0,  5  5  0      ,  4  3  1      
436.949451,1.953e-27,          0 0 0,          0 0 0, 20  4 16      , 19  5 15      
437.039038,3.052e-30,          0 3 0,          0 3 0,  7  7  1      ,  6  6  0      
437.039585,9.155e-30,          0 3 0,          0 3 0,  7  7  0      ,  6  6  1      
437.204166,4.722e-29,          1 0 0,          1 0 0, 11  7  5      , 10  6  4      
437.238584,2.96e-30,          0 2 0,          0 0 1,  9  7  2      ,  8  3  5      
437.497139,1.415e-28,          1 0 0,          1 0 0, 11  7  4      , 10  6  5      
437.548729,3.909e-30,          0 1 0,          0 1 0, 19  5 15      , 18  4 14      
437.659512,1.475e-27,          0 0 1,          0 2 0,  7  1  7      ,  8  1  8      
437.854444,1.293e-30,          0 0 1,          1 0 0,  5  5  1      ,  4  3  2      
437.915615,1.724e-23,          0 0 0,          0 0 0, 10  7  3      , 10  4  6      
437.975176,4.64e-30,          0 0 1,          0 2 0,  7  0  7      ,  8  0  8      
438.062404,4.941e-28,          0 0 0,          0 0 0, 18  7 11      , 18  4 14      
438.122162,4.5e-29,          0 0 0,          0 0 0, 21  6 15      , 20  7 14      
438.46455,1.222e-30,          1 0 0,          0 2 0,  8  7  2      ,  8  6  3      
438.502838,3.769e-27,          0 0 0,          0 0 0, 17  8  9      , 17  5 12      
438.89951,1.471e-28,          0 0 0,          0 0 0, 16  7 10      , 17  2 15      
439.012871,5.048e-28,          0 0 0,          0 0 0, 20  5 15      , 19  6 14      
439.200145,3.441e-27,          0 0 1,          0 2 0,  4  2  2      ,  5  2  3      
439.414153,9.358e-29,          0 0 0,          0 0 0, 19  8 11      , 19  5 14      
439.671772,1.055e-29,          0 3 0,          0 3 0,  8  6  3      ,  7  5  2      
439.775142,3.509e-30,          0 3 0,          0 3 0,  8  6  2      ,  7  5  3      
439.886049,3.247e-27,          0 0 0,          0 0 0, 21  3 18      , 20  4 17      
440.172462,1.084e-27,          0 0 0,          0 0 0, 21  4 18      , 20  3 17      
440.398703,1.209e-30,          0 0 1,          0 0 1,  9  7  3      ,  9  4  6      
440.400148,3.963e-29,          0 0 1,          0 0 1, 12  6  6      , 11  5  7      
440.433045,1.178e-29,          1 0 0,          0 0 1,  8  5  3      ,  7  1  6      
440.807283,1.756e-28,          0 0 0,          0 0 0, 14  9  6      , 15  4 11      
