1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
1523.031383,8.697e-27,          0 1 0,          0 0 0, 15  8  7      , 15  9  6      
1523.085212,1.808e-29,          1 1 0,          0 0 1,  6  3  3      ,  6  3  4      
1523.213728,9.764e-30,          0 1 1,          0 0 1, 10  3  7      , 10  4  6      
1523.487017,4.258e-26,          0 1 0,          0 0 0, 14  8  7      , 14  9  6      
1523.506102,4.379e-27,          1 1 0,          1 0 0,  1  0  1      ,  2  1  2      
1523.572621,1.419e-26,          0 1 0,          0 0 0, 14  8  6      , 14  9  5      
1523.63419,2.514e-21,          0 1 0,          0 0 0,  5  3  3      ,  6  2  4      
1523.663535,8.282e-28,          1 0 0,          0 1 0,  6  1  6      ,  7  4  3      
1523.672198,4.509e-29,          1 1 0,          1 0 0,  8  3  5      ,  8  4  4      
1523.713439,4.615e-30,          0 1 0,          0 0 0, 19  8 11      , 19  9 10      
1523.868209,8.379e-26,          0 1 0,          0 0 0, 15  6  9      , 15  7  8      
1523.995942,8.877e-30,          1 1 0,          1 0 0,  5  0  5      ,  4  3  2      
1524.038247,5.235e-30,          0 0 1,          0 1 0,  5  1  5      ,  6  5  2      
1524.04688,7.957e-28,          0 1 1,          0 0 1,  6  1  5      ,  6  2  4      
1524.128381,3.498e-27,          1 1 0,          1 0 0,  2  1  2      ,  3  0  3      
1524.166813,6.085e-26,          0 1 0,          0 0 0, 13  8  6      , 13  9  5      
1524.19569,1.826e-25,          0 1 0,          0 0 0, 13  8  5      , 13  9  4      
1524.4682,7.162e-26,          0 1 0,          0 0 0, 13  6  7      , 14  5 10      
1524.80938,8.406e-21,          0 1 0,          0 0 0,  6  3  3      ,  6  4  2      
1524.855335,6.763e-25,          0 1 0,          0 0 0, 12  8  5      , 12  9  4      
1524.864069,2.254e-25,          0 1 0,          0 0 0, 12  8  4      , 12  9  3      
1525.10846,5.751e-26,          0 1 0,          0 0 0, 14  2 13      , 13  3 10      
1525.482879,3.962e-28,          1 0 0,          0 1 0,  6  2  4      ,  7  5  3      
1525.49942,8.805e-20,          0 1 0,          0 0 0,  4  2  3      ,  4  3  2      
1525.5536,7.042e-25,          0 1 0,          0 0 0, 11  8  4      , 11  9  3      
1525.55565,2.113e-24,          0 1 0,          0 0 0, 11  8  3      , 11  9  2      
1525.616528,1.831e-28,          0 1 1,          1 0 0,  5  2  3      ,  5  4  2      
1525.673359,4.545e-28,          0 1 1,          0 0 1,  2  1  2      ,  2  2  1      
1525.767627,1.024e-27,          1 1 0,          1 0 0,  4  0  4      ,  4  1  3      
